Version:	0.100000
Fitness:	0.000000	0.102538
Sample:	1
PopSize:	1000
NoQTL:	1
Ploidy:	2
OptimizeVariance:	0.000527
Drift:	False
EnvVar:	0.012599
MutationScalar:	0.002100
MutationVar:	0.000026
Generations:	6500
ChangeFitnessSD:	5000	0.099119
MoveFitnessSD:	5000	1.815636
MoveType:	Phenotype
Seed:	821759058
PheotypeVar:	0.013126
Heritabitlity:	0.040184
StandardisePhenotype:	False
InitFitnessSD:	-1.000000
Generation	Phenotype Mean	Phenotype Ratio	Genotype Var	P Survived	Surviving Slope	Surviving Standardised Slope	w	
0	0.003633	0.031961	0.000000	677	4.550333	0.363972	0.000000	
1	0.006118	0.055122	0.000026	701	4.526460	0.350907	0.005082	
2	0.002032	0.017883	0.000050	661	4.575790	0.342031	0.009721	
3	-0.000437	-0.003849	0.000073	684	4.528659	0.344475	0.014123	
4	-0.002080	-0.019237	0.000098	694	4.551331	0.348018	0.019086	
5	0.000770	0.006923	0.000120	684	4.537766	0.333647	0.023372	
6	0.007514	0.068273	0.000141	664	4.481921	0.344305	0.027411	
7	-0.000093	-0.000805	0.000172	660	4.562458	0.347940	0.033343	
8	-0.000339	-0.003016	0.000183	687	4.578508	0.356118	0.035558	
9	-0.003935	-0.036024	0.000215	668	4.472353	0.332959	0.041890	
10	-0.000833	-0.007402	0.000251	656	4.440197	0.325989	0.048780	
11	0.002781	0.024953	0.000270	686	4.553664	0.343556	0.052582	
12	-0.000736	-0.006320	0.000276	637	4.538030	0.357809	0.053689	
13	-0.003510	-0.030561	0.000317	677	4.581609	0.345007	0.061710	
14	0.000850	0.007835	0.000348	664	4.566463	0.343580	0.067739	
15	0.001838	0.015615	0.000365	640	4.591643	0.357153	0.070953	
16	-0.000106	-0.000940	0.000409	661	4.583024	0.339888	0.079456	
17	0.005449	0.044255	0.000483	635	4.547163	0.349020	0.093916	
18	0.000404	0.003602	0.000497	681	4.534141	0.339368	0.096590	
19	-0.003361	-0.029802	0.000517	648	4.511285	0.347065	0.100448	
20	-0.001189	-0.010154	0.000575	682	4.521295	0.359347	0.111759	
21	-0.001115	-0.009871	0.000583	675	4.597442	0.345880	0.113339	
22	0.000827	0.007196	0.000553	681	4.608483	0.349482	0.107562	
23	0.002473	0.021222	0.000529	664	4.503718	0.347661	0.102798	
24	0.003342	0.028394	0.000573	679	4.600562	0.362713	0.111394	
25	0.007794	0.068439	0.000602	671	4.471339	0.349720	0.117036	
26	-0.001416	-0.012577	0.000585	694	4.561349	0.354239	0.113756	
27	0.001055	0.009375	0.000591	672	4.483964	0.336786	0.114953	
28	-0.002971	-0.026088	0.000669	663	4.588486	0.357776	0.130075	
29	0.004860	0.043110	0.000611	662	4.560871	0.345599	0.118694	
30	-0.000037	-0.000321	0.000673	662	4.603277	0.361033	0.130744	
31	0.001632	0.014259	0.000724	665	4.547663	0.336437	0.140812	
32	0.005533	0.047050	0.000701	663	4.605879	0.362278	0.136207	
33	0.002334	0.020404	0.000630	677	4.507043	0.336739	0.122478	
34	-0.004786	-0.041324	0.000707	652	4.637140	0.353749	0.137411	
35	-0.002336	-0.020383	0.000766	672	4.535914	0.340358	0.148997	
36	0.000137	0.001201	0.000651	656	4.572982	0.343498	0.126522	
37	-0.004724	-0.042626	0.000726	678	4.492889	0.323812	0.141111	
38	-0.001621	-0.013872	0.000763	653	4.486498	0.343767	0.148388	
39	0.000566	0.004948	0.000880	656	4.537453	0.351646	0.171032	
40	-0.001142	-0.009813	0.000887	672	4.515345	0.345639	0.172358	
41	-0.000039	-0.000336	0.000946	643	4.575321	0.355035	0.183895	
42	0.001077	0.008844	0.000954	630	4.518378	0.347444	0.185444	
43	-0.001081	-0.008860	0.000927	646	4.508711	0.350311	0.180205	
44	0.003962	0.033930	0.000989	656	4.543303	0.344891	0.192202	
45	-0.001565	-0.013029	0.001125	626	4.542226	0.349156	0.218692	
46	-0.004317	-0.036804	0.001163	651	4.558414	0.340952	0.226132	
47	0.004044	0.034632	0.001118	641	4.463077	0.341526	0.217391	
48	0.008635	0.074443	0.001043	684	4.565440	0.365611	0.202662	
49	-0.000192	-0.001616	0.001088	668	4.529248	0.358089	0.211543	
50	0.002717	0.023062	0.001101	635	4.565501	0.340670	0.214101	
51	-0.000981	-0.008283	0.001189	666	4.638613	0.361300	0.231079	
52	-0.001506	-0.012996	0.001193	665	4.519112	0.333127	0.231875	
53	0.010452	0.090285	0.001176	640	4.534641	0.337624	0.228570	
54	-0.004141	-0.036483	0.001102	655	4.561306	0.359909	0.214157	
55	0.005694	0.046854	0.001173	623	4.575956	0.362511	0.227935	
56	-0.003695	-0.031981	0.001013	659	4.593675	0.363871	0.196884	
57	0.006735	0.057572	0.001144	650	4.508955	0.341099	0.222460	
58	-0.000709	-0.006035	0.001101	663	4.550469	0.344153	0.214101	
59	0.000896	0.007686	0.001109	677	4.551980	0.365804	0.215573	
60	0.007130	0.059162	0.001211	639	4.601120	0.350771	0.235391	
61	0.004192	0.037640	0.001113	668	4.604688	0.365038	0.216373	
62	-0.005941	-0.052082	0.001238	674	4.635234	0.356285	0.240685	
63	0.001553	0.012544	0.001300	618	4.614622	0.368016	0.252677	
64	0.001696	0.014518	0.001214	678	4.627681	0.370470	0.235915	
65	0.001079	0.008969	0.001327	632	4.589215	0.347941	0.257936	
66	-0.002935	-0.025628	0.001295	661	4.471442	0.330800	0.251826	
67	-0.001723	-0.014455	0.001281	649	4.591219	0.363389	0.249061	
68	0.002115	0.017767	0.001228	629	4.546900	0.342823	0.238779	
69	-0.003132	-0.027717	0.001200	659	4.614390	0.350888	0.233283	
70	-0.005325	-0.045453	0.001280	639	4.545277	0.348405	0.248893	
71	-0.004190	-0.035515	0.001386	637	4.592921	0.353339	0.269398	
72	-0.011118	-0.094224	0.001329	679	4.581619	0.349928	0.258266	
73	-0.008204	-0.071126	0.001233	649	4.532457	0.358614	0.239670	
74	-0.004370	-0.036858	0.001170	675	4.535878	0.348234	0.227491	
75	-0.004108	-0.034708	0.001296	652	4.620019	0.369749	0.251842	
76	-0.000120	-0.001004	0.001305	644	4.552111	0.350950	0.253755	
77	-0.008369	-0.070821	0.001291	649	4.530351	0.367384	0.250947	
78	-0.002808	-0.024163	0.001266	681	4.558352	0.353621	0.246200	
79	-0.006243	-0.052585	0.001269	643	4.599217	0.359668	0.246641	
80	-0.003567	-0.030271	0.001295	666	4.565815	0.352209	0.251646	
81	-0.007328	-0.060854	0.001314	656	4.511154	0.342403	0.255380	
82	0.005031	0.043861	0.001341	673	4.539181	0.338665	0.260588	
83	-0.005386	-0.045108	0.001326	640	4.578499	0.345456	0.257806	
84	0.001096	0.009497	0.001424	646	4.504270	0.326070	0.276824	
85	0.001111	0.009595	0.001303	682	4.539418	0.348529	0.253274	
86	-0.001985	-0.017349	0.001342	699	4.563358	0.349434	0.260856	
87	0.006258	0.053186	0.001236	637	4.558846	0.346909	0.240272	
88	-0.004915	-0.040798	0.001363	642	4.603854	0.356912	0.265036	
89	-0.003758	-0.031111	0.001327	642	4.547098	0.356721	0.257927	
